headword,CEFR,definition
portrait,A2,초상화
pose,B2,포즈
posh,B2,우아한
position,A2,위치
positive,B1,긍정적인
positively,B1,전적으로
possess,B1,붙잡다
possessed,B2,소유
possession,B1,소유
possessive,B1,소유격
possibility,B1,가능성
possible,A2,가능한
possibly,A2,혹시
post,A1,우편
post,A2,우편
post office,A2,우체국
postal,B2,우편 엽서
postcard,B1,뜻 검색 실패
poster,A1,뜻 검색 실패
postman,B1,우편 집배원
postpone,B2,연기하다
pot,B1,냄비
potato,A1,감자
potent,B2,유력한
potential,B2,잠재적인
potential,B1,잠재적인
potentially,B2,잠재적으로
pottery,B1,도기류
pound,B1,파운드
pound,B2,파운드
pour,A2,붓다
poverty,B1,빈곤
powder,B1,뜻 검색 실패
powder,B2,가루
power,A2,힘
powerful,A2,강한
powerfully,B2,강력하게
practical,B1,현실적인
practicality,B2,실용적인 사항
practically,B2,거의
practice,A1,관행
practice/practise,A1,연습하다/연습하다
praise,B1,칭찬
praise,B2,칭찬
prance,B2,도약
prawn,B2,왕새우
pray,A1,기도하다
prayer,B1,기도
precede,B2,앞서다
precious,B1,귀중한
precise,A2,정밀한
precisely,B2,정확하게
predicament,B2,상태
predicate,B2,술부
predicative,B2,술사
predict,A2,예측하다
predictable,B2,예측 가능한
prediction,A2,예측
predictive,B2,예측
predictor,B2,예언자
prefect,B2,지사
prefer,A2,선호하다
preferable,B2,선택할 만한
preferably,B2,즐겨
preference,B1,선호
prefix,B1,접두사
pregnant,B1,임신한
prehistoric,B2,선사 시대의
prehuman,B2,인간 이전의
preindustrial,B2,산업화 이전의
prejudge,B2,미리 판단하다
prejudice,B1,편견
preliminary,B2,뜻 검색 실패
preoccupy,B2,선점하다
preparation,B1,뜻 검색 실패
prepare,A2,준비하다
prepared,B1,준비된
preposition,B1,뜻 검색 실패
preschool,B1,취학 전의
prescribe,B2,처방하다
prescription,B1,처방
presence,B1,있음
present,B1,현재의
present,A1,현재의
present,B2,현재의
presentation,B1,프레젠테이션
presenter,B2,증여자
preservation,B1,보존
preserve,B1,보존하다
presidency,B2,통솔
president,B1,대통령
presidential,B2,대통령
press,B1,누르다
press,B1,누르다
pressure,A2,압력
prestige,B2,명성
prestigious,B2,뜻 검색 실패
presumably,B2,아마도
pretend,B2,~인 척하다
pretend,A2,~인 척하다
pretty,A1,예쁜
pretty,A2,예쁜
prevail,B2,만연하다
prevent,A2,뜻 검색 실패
prevention,B2,방지
preventive,B2,예방법
previous,B1,이전의
previously,B2,이전에
price,A1,가격
price,B2,가격
priceless,B2,아주 재미있는
prick,B2,찌르기
pride,A2,자부심
priest,B1,뜻 검색 실패
primarily,B1,주로
primary,B2,주요한
primary school,B1,국민 학교
prime,B2,초기
prime minister,B2,총리
primitive,B1,원어
prince,A1,왕자
princess,A1,공주
principal,A2,주요한
principal,B2,주요한
principle,B1,원칙
print,B1,인쇄
print,A2,인쇄
printer,A2,인쇄기
prior,B2,이전의
priority,B2,우선 사항
prison,B1,감옥
prisoner,B1,죄인
privacy,B1,은둔
private,A2,뜻 검색 실패
privately,B2,몰래
privilege,B2,특권
prize,B1,상
pro,A2,찬성
probability,B1,개연성
probable,B2,유망한 후보자
probably,A2,아마
probe,B2,조사
problem,A1,문제
procedure,B2,절차
proceed,B1,진행하다
process,B1,프로세스
process,B2,프로세스
proclaim,B1,선포하다
procrastination,B1,미루는 것
produce,A2,생산하다
producer,B1,생산자
product,A2,제품
production,A2,생산
productive,B1,생기게 하는
profession,B1,직업
professional,A2,전문적인
professional,B2,전문적인
professor,B1,교수
profile,B2,뜻 검색 실패
profit,B2,이익
profitable,B2,유리한
program/programme,A1,뜻 검색 실패
program/programme,B1,프로그램/프로그램
programmer,B2,프로그램 제작자
programming,B2,프로그램 작성
progress,B1,진전
progress,B2,진전
progressive,A2,진보적인
prohibit,B2,금지하다
prohibition,B1,금지
project,B2,프로젝트
project,B2,프로젝트
projection,B2,투사
prom,B2,무도회
prominence,B2,뜻 검색 실패
prominent,B1,중요한
promise,A2,약속하다
promise,B1,약속하다
promote,B1,홍보하다
promotion,B1,홍보
prompt,B2,뜻 검색 실패
prompt,B2,즉각적인
prompt,B2,즉각적인
promptly,B2,즉시
pronoun,B1,뜻 검색 실패
pronounce,A2,발음하다
pronunciation,A2,발음
proof,B1,증거
proper,A2,적절한
properly,B1,제대로
property,B1,재산
proponent,B2,제안자
proportion,B1,비율
proposal,B1,제안
propose,B1,제안하다
proposed,B2,제안
prose,B2,산문
prosecute,B2,기소하다
prospect,B2,전망
prosper,B2,번영하다
prosperity,B1,번영
prosperous,B1,번영하는
protect,B1,보호하다
protection,B1,보호
protective,B1,보호적인
protest,B1,항의
protest,B2,항의
proud,B1,자랑스러운
proudly,B2,자랑스럽게
prove,B1,입증하다
proven,B2,뜻 검색 실패
proverb,B1,속담
provide,A2,제공하다
provided,B1,뜻 검색 실패
province,B2,주
provision,B2,공급
proximity,B2,근접성
psychological,B1,심리적
psychologically,B2,심리적으로
psychologist,A2,심리학자
psychology,B2,심리학
pub,B1,선술집
public,B1,공공의
public,A2,공공의
public transport,B1,대중교통
publication,B2,출판
publicity,B2,널리 알려짐
publicize/publicise,B2,홍보하다/홍보하다
publicly,B1,공개적으로
publish,A2,출판하다
publisher,B1,발행자
pudding,B2,푸딩
pull,A2,당기다
pullover,B1,풀오버
pulse,B2,맥박
pump,B1,펌프
pumpkin,B2,호박
punch,B2,펀치
punch,B2,펀치
punctual,B2,시간을 잘 지키는
punctuality,B2,시간 엄수
punctuation,A2,구두
punish,B1,벌하다
punishment,B1,처벌
pupil,B1,학생
puppy,B1,강아지
purchase,B2,구입
purchase,B2,구입
pure,B1,순수한
purify,B1,정화하다
purple,A2,보라
purple,A1,보라
purpose,A2,목적
purposeful,B2,목적이 있는
purse,B1,지갑
pursue,A2,추구하다
pursuit,B2,추구
push,B1,푸시
push,A1,푸시
put,A1,놓다
puzzle,B1,퍼즐
puzzled,B2,어찌할 바를 모르는
quake,B1,지진
qualification,B2,자격
qualified,B1,자격 있는
qualify,B1,자격을 갖추다
quality,B1,품질
quality,A2,품질
quantify,B2,정량화하다
quantity,B1,수량
quarantine,B2,건강격리
quarrel,B2,싸움
quarrel,B2,싸움
quarrelsome,B2,말다툼하다
quarter,A1,4분의 1
queen,A2,여왕
queer,B2,퀴어
query,B2,질문
question,A1,질문
question,B2,질문
question mark,B1,물음표
questionnaire,B1,설문지
queue,B1,대기줄
queue,B2,대기줄
quick,A2,빠른
quickly,A1,빠르게
quiet,A1,조용한
quiet,B2,조용한
quietly,A2,조용히
quit,B2,그만두다
quit,A2,그만두다
quite,A2,상당히
quiz,A2,놀리다
quotable,B2,할당할 수 있는
quotation,B2,인용
quote,B2,인용하다
quote,B2,인용하다
rabbit,A1,토끼
race,B1,경주
race,B1,경주
racial,B1,인종
racism,B2,민족적 우월감
racist,B2,인종차별주의자
rack,B2,고문
racket,A2,라켓
radar,B2,레이더
radiate,B2,방사하다
radiation,B1,방사
radical,B2,근본적인
radically,B2,본래
radio,A1,라디오
radium,B2,라듐
rafter,B2,서까래
rag,B2,조각
rage,B1,격노
rail,B1,레일
railroad,B1,철도
railway,B1,철도
rain,A1,비
rain,A1,비
rainbow,B2,무지개
raincoat,A2,비옷
rainfall,B1,강우
rainforest,B1,열대우림
rainstorm,B2,비바람
rainy,A1,비오는
raise,A2,들어올리다
rally,B2,랠리
ram,B2,숫양
ramp,B2,비탈길
range,A2,범위
range,B2,범위
ranger,B2,레인저
rank,B1,계급
rap,A2,랩
rap,B1,랩
rape,B2,강간
rape,B2,강간
rapid,B1,빠른
rapidly,B1,급속히
rare,B1,희귀한
rarely,B1,드물게
rash,B2,발진
raspberry,B1,산딸기
rat,A1,쥐
rate,A2,비율
rate,B2,비율
rather,A2,꽤
rating,A2,평가
ration,B1,정액
rational,B1,합리적인
rattle,B2,딸랑이
ravage,B2,파괴
raw,A2,날것의
ray,A2,레이
razor,B1,면도칼
're,A1,'답장
reach,B1,도달하다
reach,A2,도달하다
react,B1,반응하다
reaction,B2,반응
read,A1,읽다
reader,A1,리더
readily,B2,손쉽게
reading,A1,독서
ready,A1,준비가 된
real,A1,진짜
real,A1,진짜
real estate,B2,부동산
realistic,B1,현실적인
reality,B1,현실
realization/realisation,B2,실현/실현
realize/realise,A2,깨닫다/깨닫다
really,A1,정말
rear,B2,뒤쪽
rearrange,B1,재배열하다
reason,A1,이유
reasonable,B1,합리적인
reasonably,B2,합리적으로
rebel,B2,반역자
rebel,B2,반역자
rebellious,B2,반항적인
rebuild,B1,재건하다
recall,B1,상기하다
receipt,A2,영수증
receive,A2,받다
recent,A2,최근의
recently,A2,최근에
reception,B1,리셉션
receptionist,A2,접수원
recession,B2,경기 후퇴
recipe,B2,레시피
recite,B1,암송하다
reckon,B2,세다
reclaim,B1,개심
recognition,B2,인식
recognize/recognise,B1,인식하다/인식하다
recollect,B2,생각해 내다
recollection,B2,회상
recommend,B1,추천하다
recommendable,B2,추천할 만한
recommendation,B2,추천
reconsider,B2,재고하다
record,B1,기록
record,A2,기록
recording,B1,녹음
recover,B1,다시 덮다
recovery,B1,회복
recreation,B2,휴양
recruit,B2,모집하다
rectangular,B2,직사각형
recycle,A2,재활용
recycled,B1,재활용
recycling,B1,재활용
red,A1,빨간색
red,A2,빨간색
redo,B2,다시 하다
reduce,B1,줄이다
reduction,B1,절감
redundant,B2,많은
reed,B2,갈대
reef,B1,암초
refer,A2,나타내다
referee,B1,심판
reference,B2,참조
referent,B2,지시대상
refinery,B2,정련소
reflect,A2,반영하다
reflection,B1,반사
reflective,B2,뜻 검색 실패
reform,B2,개정
refrain,B2,그만두다
refresh,B2,새로 고치다
refreshments,B1,다과
refrigerator,A2,냉장고
refuge,B2,피난
refugee,B2,난민
refund,B1,환불하다
refusal,B1,거절
refuse,B1,거절하다
refuse,B1,거절하다
refute,B2,반박하다
regain,B1,회복하다
regard,B2,관심
regard,B1,관심
regarding,B1,~에 관하여
regardless,B2,~에 관계없이
reggae,B2,레게
regime,B2,정권
region,B1,지역
regional,B1,지역
register,B1,등록하다
register,B1,등록하다
registration,B1,등록
regret,B2,후회
regret,A2,후회
regrettably,B2,유감스럽게도
regular,A2,뜻 검색 실패
regularly,A2,정기적으로
regulate,B2,규제하다
regulation,B1,규제
rehearsal,B2,뜻 검색 실패
reinforce,B2,강화하다
reinforcement,B2,보강
reject,B1,거부하다
rejection,B2,배제
rejoin,B2,다시 합류하다
relate,B1,말하다
related,B2,관련된
relation,B1,관계
relationship,B1,관계
relative,B1,상대적인
relative,B1,상대적인
relatively,B1,비교적
relativity,B2,상대성
relax,A2,안심하다
relaxation,B2,기분 전환
relaxed,A2,편안한
relaxing,B1,편안한
relay,B2,계전기
release,A2,풀어 주다
release,B1,풀어 주다
relevant,B2,관련 있는
reliable,B1,믿을 수 있는
relic,B2,유물
relief,B2,안도
relieve,B2,완화
relieved,B2,안도하는
religion,B1,종교
religious,B1,종교의
reluctant,B2,주저하는
rely,B1,의존하다
remain,A2,유지하다
remainder,B1,뜻 검색 실패
remaining,B2,남은
remains,B2,유적
remark,B2,주목
remark,B1,주목
remarkable,B1,놀랄 만한
remarkably,B2,놀랍게도
remedy,B1,치료
remember,A1,기억하다
remembrance,B1,기념
remind,A2,상기시키다
reminder,B2,알림
remote,A2,원격
remote control,B1,원격 제어
remove,B1,제거하다
renew,B1,고쳐 쓰다
rent,A2,임차료
rent,A2,임차료
rental,B2,임대
reorganize/reorganise,B2,뜻 검색 실패
repaint,B2,다시 칠하다
repair,A2,수리하다
repair,A2,수리하다
repay,B1,갚다
repeat,A1,반복하다
repeatedly,B1,자꾸
repertoire,B2,뜻 검색 실패
repetition,B2,되풀이
replace,A2,바꾸다
replacement,B2,대사
replica,B2,레플리카
reply,A2,회신하다
reply,B1,회신하다
report,A2,보고서
report,B1,보고서
reporter,A1,보고자
represent,A2,대표하다
representative,B1,대표
repress,B2,억누르다
repression,B2,억제
reprint,B2,재판
reproduce,B1,낳다
reprove,B2,꾸짖다
republic,B1,공화국
reputation,B1,평판
request,A2,요구
request,B1,요구
require,B1,필요하다
requirement,B1,요구 사항
rescue,B1,구조하다
rescue,B1,구조하다
research,A2,연구
research,B2,연구
researcher,B1,뜻 검색 실패
resemble,B1,닮다
reservation,B1,예약
reserve,B1,예약하다
reserve,B1,예약하다
residence,B2,거주
resident,B1,거주자
resident,B2,거주자
residential,B1,주거용
resign,B2,사직하다
resignation,B2,사직
resist,B1,저항하다
resistance,B2,저항
resolution,B2,해결
resolve,B1,해결하다
resonant,B2,공명하는
resort,B1,의지
resource,B1,의지
respect,B1,존경
respect,B1,뜻 검색 실패
respectable,B1,상당한
respectably,B2,존경스럽게
respected,B2,존경받는
respiration,B2,호흡
respiratory,B2,호흡기
respond,B1,대답하다
response,A2,응답
responsibility,B1,책임
responsible,B1,책임이 있는
rest,B1,나머지
rest,B1,나머지
restaurant,A1,식당
restore,B1,복원하다
restrict,B1,얽매다
restriction,B2,제한
result,A1,결과
result,B1,결과
resume,B2,재개하다
retail,B1,소매
retailer,B2,소매점
retain,B1,유지하다
retard,B2,지체
retell,B1,다시 말하다
retina,B2,망막
retire,A2,은퇴하다
retired,A2,은퇴하다
retirement,B2,퇴직
retreat,B2,후퇴
retreat,B2,후퇴
retrieve,B2,검색하다
retrospect,B1,뜻 검색 실패
return,A2,뜻 검색 실패
return,A2,반품
reunification,B1,통일
reunify,B1,재결합하다
reunion,A2,재결합
reveal,A2,드러내다
revelation,B2,시현
revenge,B2,뜻 검색 실패
revenue,B2,수익
reverence,B2,경례
reverse,B2,뒤집다
review,A1,검토
review,B2,검토
revise,B1,개정하다
revision,B1,개정
revival,B2,회복
revive,B2,부활시키다
revolution,B2,혁명
revolutionary,B2,혁명적
revolutionize/revolutionise,B2,혁명을 일으키다/혁명을 일으키다
revolve,B2,회전하다
reward,B1,보상
reward,B2,뜻 검색 실패
rewrite,B1,고쳐 쓰기
rhinoceros,B2,코뿔소
rhyme,B2,운
rhythm,A2,율
rhythmic,B2,리드미컬한
rib,B2,늑골
ribbon,A1,리본
rice,A1,쌀
rich,A1,부자
rid,B1,제거하다
riddle,B2,수수께끼
riddle,B1,수수께끼
ride,A1,타다
ride,A1,타다
rider,B2,타는 사람
ridge,B2,산등성이
ridiculous,B1,말도 안 되는
right,A1,오른쪽
right,A1,오른쪽
right,A2,오른쪽
righteousness,B2,정당성
right-hand,A2,오른손
rightly,B2,바르게
rim,B2,가장자리
ring,A2,반지
ring,A1,반지
rip,B2,찢다
ripe,B1,익은
rise,B1,증가
rise,B1,증가
risk,B1,위험
risk,B2,위험
risky,B2,위험한
rite,B2,의식
ritual,B2,의례
rival,B2,경쟁자
river,A1,강
road,A2,도로
roadside,B1,길가
roam,B2,배회하다
roar,B2,노호
roast,B2,구운
roast,A2,구운
rob,A2,털다
robbery,A2,강도
robin,A2,남자 이름
robot,B1,기계 인간
rock,A2,바위
rock,B2,바위
rocket,B2,로켓
rocky,B2,불안정한
role,A1,역할
roll,A2,연타
roll,B2,연타
rolling,B1,구르는
romance,A2,로맨스
romantic,A2,낭만적인
roof,A2,지붕
room,A1,방
room,B1,방
roommate,B2,룸메이트
root,A2,뿌리
rope,A2,로프
rose,A1,장미
rosy,B2,유망한
rotten,B1,썩은
rough,B1,거친
roughly,A2,대충
round,B1,둥근
round,A2,둥근
round,B1,둥근
round,B2,둥근
round,B2,둥근
roundabout,A2,원형 교차로
route,B2,노선
routine,B1,루틴
row,A1,열
row,B2,열
royal,A2,감청색
royalty,B2,왕족
rub,B2,장애
rubber,B1,고무
rubbish,B1,쓰레기
rubble,B2,파편
rude,A1,무례한
rudely,B1,무례하게
rug,B2,깔개
rugby,A2,럭비
ruin,B1,망치다
ruin,A2,망치다
ruinous,B2,파멸적인
rule,A1,규칙
rule,B2,뜻 검색 실패
ruler,A1,자
rumor/rumour,A2,소문/소문
run,A1,달리다
run,A1,달리다
runaway,B1,도망자
runner,A2,달리는 사람
running,A2,달리기
runway,B1,통로
rural,B2,시골의
rush,A2,서두르다
rush,B1,서두르다
rush hour,B2,러시아워
rusty,B2,녹슨
's,A1,'에스
sack,B2,해고
sacred,B1,신성한
sad,A1,슬픈
sadly,A2,슬프게도
sadness,B1,비애
safari,B1,원정 여행
safe,A2,안전한
safeguard,B1,보호
safeguard,B2,보호
safely,B1,안전하게
safety,B1,안전
sag,B2,처짐
sage,B2,세이지
sail,B2,돛
sailing,A2,범주
sailor,A1,선원
sake,A2,동기
salad,A1,샐러드
salary,B2,샐러리
sale,A1,판매
salesman,B1,판매원
salesmanship,B2,세일즈맨십
salesperson,B2,영업사원
saleswoman,B2,여자 판매원
salmon,B1,연어
salon,B2,가게
salsa,B2,살사
salt,A2,소금
salty,B2,짠
same,A1,같은
same,A1,같은
same,A1,같은
sample,A2,뜻 검색 실패
sand,B1,모래
sandal,B1,샌들
sandstone,B2,뜻 검색 실패
sandwich,A1,샌드위치
sandy,A2,남자 이름
sanitary,B2,위생적인
sanitation,B2,위생
satellite,B1,뜻 검색 실패
satisfaction,B1,만족
satisfactory,B2,만족스러운
satisfied,B1,만족하는
satisfy,A2,풀다
Saturday,A1,토요일
sauce,A2,뜻 검색 실패
saucepan,B1,소스 냄비
saucer,B1,받침 접시
sausage,A2,소시지
save,A1,구하다
saving/savings,B2,저축/저축
saw,A1,봤다
saw,B2,봤다
say,B2,말하다
say,A1,말하다
scale,A2,규모
scan,B1,뜻 검색 실패
scan,B2,주사
scandal,B2,추문
scar,B2,흉터
scarcely,B2,거의
scare,B1,공황
scared,B1,무서운
scarf,A2,스카프
scarlet,B2,주홍
scary,B1,무서운
scatter,B1,소수
scene,A2,뜻 검색 실패
scenery,A2,경치
scenic,B1,풍경화
scent,B2,향기
schedule,A2,일정
schedule,B2,일정
scheduled,B2,예정된
scheme,B2,계획
scholar,B1,학자
scholarship,B1,장학금
scholasticism,B2,스콜라 철학
school,A1,학교
schoolchild,A2,뜻 검색 실패
schoolgirl,B2,여학생
schoolmate,B1,학우
schoolteacher,B1,교원
schoolwork,A2,학업
science,A1,과학
science fiction,B1,공상 과학 소설
scientific,A2,과학적
scientifically,B2,과학적으로
scientist,A1,과학자
scissors,A2,가위
scold,B1,꾸짖다
scooter,B2,뜻 검색 실패
scope,B1,범위
score,B1,점수
score,B1,점수
scramble,B2,스크램블
scratch,B1,뜻 검색 실패
scratch,B2,할퀴다
scream,A2,비명
scream,B1,비명
screen,A2,화면
screen,B2,화면
screw,A2,나사
screw,B2,나사
scribble,B2,갈겨 쓰다
script,A2,스크립트
scrooge,B2,스크루지
scuba,B2,스쿠버
sculpture,B1,조각품
scythe,B2,큰 낫
sea,A1,바다
seafood,A2,해산물
seal,B2,밀봉하다
search,A2,찾다
search,B1,찾다
seaside,A2,해안
season,B1,계절
seasonal,B2,계절의
seat,A1,좌석
seawater,B1,바닷물
seaweed,B1,해초
second,A1,두번째
second,B1,두번째
second,A2,두번째
second,A2,두번째
second person,B2,두 번째 사람
secondary,B2,반성
secondary school,B1,중등 학교
second-hand,B1,중고
second-hand,B1,중고
secondly,B2,둘째로
secret,B1,비밀
secret,A2,비밀
secretary,A2,비서
secretly,B1,남몰래
section,A1,부분
sector,B2,부문
secure,B1,안전한
security,B1,보안
see,A1,보다
seed,A2,씨앗
seek,A2,구하다
seem,A2,~인 것 같다
seesaw,B2,뜻 검색 실패
segment,B2,분절
seize,B1,잡다
seldom,B2,드물게
select,B1,뜻 검색 실패
select,B2,선택하다
selection,B1,뜻 검색 실패
self,A1,본인
self-confidence,B2,자신감
self-confident,B2,자신감
selfish,B1,이기적인
selfless,B2,사심 없는
self-service,B1,뜻 검색 실패
sell,A1,팔다
seller,B2,파는 사람
semester,A2,학기
semicolon,B2,세미콜론
semi-final,B2,준결승
seminar,B2,뜻 검색 실패
senator,B2,평의원
send,A2,보내다
senior,A2,상위
senior,A2,상위
sensation,B1,감각
sense,A2,감각
sense,B2,감각
sensible,B2,현명한
sensitive,B2,예민한
sentence,A1,문장
sentence,B2,문장
separate,A2,분리된
separate,B2,분리된
separately,B2,갈라져
separation,B1,분리
September,A1,구월
sequence,B1,뜻 검색 실패
serene,B2,고요한
serial,B2,연속물
series,B1,시리즈
serious,B1,심각한
seriously,A2,진지하게
servant,B2,하인
serve,A2,제공하다
server,B1,섬기는 사람
service,B1,서비스
service,B1,서비스
session,B1,세션
set,A2,세트
set,A1,뜻 검색 실패
setback,B2,방해
setting,B1,환경
settle,B1,해결하다
settlement,B1,합의
settler,B1,식민자
seven,A1,일곱
seventeen,A1,열일곱
seventy,A1,칠십
several,A2,여러 개의
several,A2,여러 개의
severe,B1,극심한
severely,B1,뜻 검색 실패
sew,A2,꿰매다
sex,B1,섹스
sexism,B2,성차별
sexual,B2,성적
sexy,B2,섹시한
shabby,B2,초라한
shade,A2,그늘
shadow,A2,그림자
shadow,B1,뜻 검색 실패
shadowy,B1,공허한
shake,A1,떨림
shake,B1,떨림
shaken,B2,쉐이킹 식
Shakespearean,B2,셰익스피어
shaky,B2,흔들리는
shall,A2,~일 것이다
shallow,B1,얕은
shame,B1,창피
shameful,B1,부끄러운
shampoo,A2,샴푸
shape,A2,모양
shape,B1,모양
share,A2,공유하다
share,A1,뜻 검색 실패
sharp,B1,날카로운
sharp,B2,날카로운
sharply,B2,날카롭게
shatter,B2,파편
shave,B1,깎다
she,A1,그녀
shed,B2,창고
sheep,A1,양
sheer,B1,얇은
sheet,B1,시트
shelf,A1,선반
shell,A2,껍데기
shell,B2,뜻 검색 실패
shelter,B1,대피소
sheriff,B1,주 장관
shield,B2,방패
shift,B2,옮기다
shift,B1,옮기다
shine,A2,빛나는
shiny,B1,빛나는
ship,A1,배
ship,B1,배
shipping,B2,해운
shipwreck,B2,난파선
shirt,A1,셔츠
shiver,B1,떨다
shock,A2,충격
shock,B2,충격
shocked,B1,충격을 받은
shocking,B1,충격적인
shoe,A1,구두
shoot,A2,사격
shooting,B2,촬영
shop,A1,가게
shop,B1,가게
shop assistant,A2,점원
shopkeeper,B2,가게 주인
shoplift,B2,좀도둑
shoplifter,B2,가게 좀도둑
shoplifting,B2,좀도둑질
shopper,B1,무료 신문
shopping,A1,쇼핑
shore,A2,지주
short,A1,뜻 검색 실패
short,A1,짧은
short/shorts,A2,반바지/반바지
shortage,B1,부족
shortly,B1,곧
shortness,B2,부족함
short-term,B2,단기
shot,A2,발사
should,A1,~해야 한다
shoulder,A1,어깨
shout,A2,외침
shout,B1,외침
show,A2,보여주다
show,A1,보여주다
showbiz,B2,쇼비즈
showcase,B2,유리 진열장
shower,A1,샤워
shower,B2,샤워
shrimp,B1,새우
shrink,B2,수축
shrink,B2,수축
shrug,B2,어깨를 으쓱하다
shut,B1,닫다
shut,A2,닫다
shy,A1,수줍은
sick,A1,아픈
sickness,B1,병
side,A1,옆
sidewalk,B1,보도
sigh,B1,한숨을 쉬다
sigh,B2,한숨을 쉬다
sight,A1,시력
sightseeing,A2,관광
sign,A1,징후
sign,B1,징후
signal,B1,신호
signature,B1,서명
significance,B1,중요성
significant,A2,중요한
significantly,B2,상당히
signify,B2,의미하다
signpost,B1,푯말
silence,A2,고요
silent,B1,조용한
silently,A2,아무 말 않고
silk,B1,명주
silly,A2,바보 같은
silver,A2,은
silver,A2,은
silverware,B2,은제품
similar,A2,비슷한
similarity,B1,유사
similarly,B1,비슷하게
simple,A2,단순한
simplification,B2,단순화
simplify,B1,단순화하다
simply,A2,뜻 검색 실패
simultaneous,B2,동시
simultaneously,B1,동시에
since,B2,~부터
since,B1,~부터
since,A2,~부터
sincere,B2,진실된
sincerity,B2,성실
sing,A1,노래하다
singer,A1,가수
singing,A2,뜻 검색 실패
single,A2,뜻 검색 실패
single,B1,하나의
singular,A2,뜻 검색 실패
singular,A2,단수형
sink,A2,싱크대
sink,B1,싱크대
sir,A1,선생님
sister,A1,자매
sister-in-law,B2,형수
sit,A1,앉다
site,A1,대지
sitting room,A2,뜻 검색 실패
situation,A2,상황
six,A1,육
sixteen,A1,열여섯
sixty,A1,육십
size,A1,크기
skate,A2,홍어
skate,B1,홍어
skateboard,B2,스케이트보드
skateboarder,B2,뜻 검색 실패
skateboarding,A2,스케이트보드
skating,A2,스케이팅
skeleton,B1,해골
sketch,B2,스케치
ski,A2,스키
ski,B1,뜻 검색 실패
skiing,A2,스키 타기
skill,A1,뜻 검색 실패
skilled,B2,뜻 검색 실패
skillful/skilful,B2,숙련된/숙련된
skillfully/skilfully,B2,능숙하게/능숙하게
skim,B2,뜻 검색 실패
skin,B1,피부
skip,B2,뜻 검색 실패
skirt,A1,치마
sky,A1,하늘
skylark,B2,종달새
skyscraper,B1,마천루
skyward,B2,뜻 검색 실패
slam,B2,쾅
slang,B2,뜻 검색 실패
slap,B2,찰싹
slap,B2,찰싹
slash,B2,삭감
slaughter,B2,학살
slave,A2,노예
slavery,B1,노예 제도
sleep,B1,잠
sleep,A1,잠
sleepless,A2,잠 못 이루는
sleepy,A2,졸린
sleeve,B1,뜻 검색 실패
slice,A2,일부분
slice,B2,일부분
slide,A2,슬라이드
slide,B2,뜻 검색 실패
slight,B2,근소한
slight,B1,뜻 검색 실패
slightly,B1,약간
slim,A2,아주 적은
slip,B1,슬립
slip,B1,슬립
sliver,B2,찢어진 조각
slogan,B1,뜻 검색 실패
slope,B1,뜻 검색 실패
sloppy,B2,묽고 싱거운
slot,B1,슬롯
slow,A1,뜻 검색 실패
slow,B1,느린
slow,B1,느린
slowly,A2,느리게
small,A1,작은
smart,A1,뜻 검색 실패
smash,B2,스매시
smell,A1,뜻 검색 실패
smell,B1,냄새가 나다
smile,A1,웃다
smile,B1,웃다
smith,A1,스미스
smoke,A1,연기
smoke,A2,연기
smoker,B1,뜻 검색 실패
smokestack,B2,굴뚝
smoking,A1,뜻 검색 실패
smooth,A2,매끄러운
smoothly,A2,순조롭게
snack,A2,간식
snake,A1,뜻 검색 실패
snap,B2,스냅
sneak,B2,좀도둑
sneer,B2,비웃음
sneeze,B1,뜻 검색 실패
sneeze,B2,재채기
sniff,B2,맡다
snore,B2,코를 골다
snore,B2,코를 골다
snow,A1,뜻 검색 실패
snow,A2,눈
snowball,B2,뜻 검색 실패
snowboard,B1,스노우보드
snowboarding,A2,뜻 검색 실패
snowstorm,B1,눈보라
snowy,A1,눈 내리는
so,A2,그래서
so,A1,그래서
soak,B2,담그다
soak,B2,담그다
soaked,B2,흠뻑 젖은
soaking,B2,뜻 검색 실패
soap,A2,비누
soap opera,B1,뜻 검색 실패
soar,B2,날기
sob,B2,흐느낌
so-called,B2,소위
soccer,A1,뜻 검색 실패
sociable,B2,간친회
social,A1,사회의
social networking,B1,소셜 네트워킹
socialize/socialise,B2,사교하다/사교하다
socially,B1,사회적으로
society,A2,사회
sock,A2,뜻 검색 실패
soda,A2,소다
sofa,A1,뜻 검색 실패
soft,A2,부드러운
soft drink,A2,청량 음료
softly,A2,부드럽게
softness,B2,연성
software,A2,소프트웨어
soil,B2,뜻 검색 실패
soil,B1,토양
solar,B2,뜻 검색 실패
soldier,A2,군인
solid,B1,뜻 검색 실패
solidity,B2,견고
soliloquy,B2,혼잣말
solo,B2,독주
solo,B2,독주
solo,B2,독주
solution,A2,해결책
solve,A1,해결하다
solvent,B2,용제
some,A1,일부
some,A1,뜻 검색 실패
somebody,A2,어떤 사람
someday,A2,언젠가
somehow,B1,어떻게든
someone,A1,누구
someplace,B1,어딘가
something,A1,무엇
sometime,B1,언젠가
sometimes,B1,때때로
somewhat,B2,약간
somewhere,A2,어딘가에
son,A1,아들
song,A1,노래
son-in-law,B2,사위
sonnet,B2,소네트
soon,A1,곧
soothe,B1,달래다
sophisticated,B2,뜻 검색 실패
sophomore,B1,2학년
sore,B1,아픈
sorrow,B1,슬픔
